Date,x_train,y_train
1/07/2018,International Transaction Fee Rebate,International Fee
1/07/2018,International Transaction Fee,International Fee
1/07/2018,PAYPAL *SPOTIFY,Spotify
1/07/2018,CREATIVE SHED PTY LT,Food
1/07/2018,PAPADAM DOCKLANDS,Food
1/07/2018,myki-tnfr26JUL18 - Direct Debit,Myki
1/07/2018,PAYPAL *NINTENDO,Entertainment
1/07/2018,International Transaction Fee Rebate,International Fee
1/07/2018,International Transaction Fee,International Fee
1/07/2018,WOOLWORTHS 3110,Supermarket
1/07/2018,GRILLD PTY LTD,Food
1/07/2018,IGA XPRESS CAULFIELD,Supermarket
1/07/2018,MS Jane Doe Splurge expenses - Deposit,Bills
1/07/2018,MS Jane Doe Daily expenses - Deposit,Bills
1/07/2018,MS Jane Doe July energy bill - Deposit,Bills
1/07/2018,MS Jane Doe June energy bill - Deposit,Bills
1/07/2018,MS Jane Doe June gas bill - Deposit,Bills
1/07/2018,Pezzo,Food
1/07/2018,JB HI FI,Entertainment
1/07/2018,Powershop - Direct Debit,Bills
1/07/2018,Powershop - Direct Debit,Bills
1/07/2018,Internal Transfer - Internal Transfer,Internal transfer
1/07/2018,Internal Transfer,Internal transfer
1/07/2018,Internal Transfer - Internal Transfer,Internal transfer
1/07/2018,Internal Transfer - Internal Transfer,Internal transfer
1/07/2018,Internal Transfer,Internal transfer
1/07/2018,Internal Transfer,Internal transfer
1/07/2018,RENTALCARTOLLPH131865,Car
1/07/2018,myki-tnfr20JUL18 - Direct Debit,Myki
1/07/2018,PAYPAL *UBER AU,Taxi
1/07/2018,PEXA             MNTH RWAR01,Income
1/07/2018,WOOLWORTHS 3089,Supermarket
1/07/2018,KUAYBOY PTY LTD,Food
1/07/2018,AVIS AUSTRALIA,Car
1/07/2018,PROPERTY EXCHANG T5640037959 ,Income
1/07/2018,PAYPAL *UBER AU,Taxi
1/07/2018,MULTI-EAST TRADING P,Food
1/07/2018,myki-tnfr17JUL18 - Direct Debit,Myki
1/07/2018,CALTEX MASCOT,Petrol
1/07/2018,AAA CORP PTY LTD,Food
1/07/2018,Powershop - Direct Debit,Bills
1/07/2018,Jane Doe  For car ,Car
1/07/2018,PAYPAL *UBER AU,Taxi
1/07/2018,PAYPAL *CATCHOFTHED,Entertainment
1/07/2018,ALDI STORES - EIG,Supermarket
1/07/2018,CBA ATM  NORTH ROCKS SC N SW 230097,Food
1/07/2018,WOOLWORTHS 3762,Supermarket
1/07/2018,MR Jane DoeBills ,Bills
1/07/2018,Internal Transfer - Internal Transfer,Internal transfer
1/07/2018,Internal Transfer - Internal Transfer,Internal transfer
1/07/2018,Internal Transfer - Internal Transfer,Internal transfer
1/07/2018,Internal Transfer,Internal transfer
1/07/2018,Internal Transfer,Internal transfer
1/07/2018,Internal Transfer,Internal transfer
1/07/2018,savings - Internal Transfer,Internal transfer
1/07/2018,Powershop - Direct Debit,Bills
1/07/2018,myki-tnfr12JUL18 - Direct Debit,Myki
1/07/2018,savings - Internal Transfer,Internal transfer
1/07/2018,WOOLWORTHS 3762,Supermarket
1/07/2018,savings,Internal transfer
1/07/2018,savings,Internal transfer
1/07/2018,MR Jane Doe Indian james ,Food
1/07/2018,WOOLWORTHS 3762,Supermarket
1/07/2018,MS ELWOOD,Food
1/07/2018,WOOLWORTHS 3762,Supermarket
1/07/2018,myki-tnfr10JUL18 - Direct Debit,Myki
1/07/2018,SPUDBAR LITTLE BOURK,Food
1/07/2018,Ryan Ward        From Jane Doe ,Food
1/07/2018,PAYPAL *SWAADMEL,Entertainment
1/07/2018,HARVEST JUICE BAR,Food
1/07/2018,PAYPAL *UBER AU,Taxi
1/07/2018,bkgrocer 207Elizabeth,Food
1/07/2018,GRILLD PTY LTD - SOU,Food
1/07/2018,CREATIVE SHED PTY LT,Food
1/07/2018,myki-tnfr06JUL18 - Direct Debit,Myki
1/07/2018,ROYAL STACKS,Food
1/07/2018,Jane Doe MSO Star Wars - Ryan W and... - Osko Payment to 063020 10566378,Entertainment
1/07/2018,Jane Doe 1 cent deduction because ... - Osko Payment to 063010 11192182,Food
1/07/2018,619 PTY LTD,Food
1/07/2018,myki-tnfr04JUL18 - Direct Debit,Myki
1/07/2018,WOOLWORTHS 3762,Supermarket
1/07/2018,PAPADAM DOCKLANDS,Food
1/07/2018,COPPERWOOD RESTRNT,Food
1/06/2018,International Transaction Fee Rebate,International Fee
1/06/2018,International Transaction Fee,International Fee
1/06/2018,PAYPAL *SPOTIFY,Spotify
1/06/2018,MOLLY DENE,Food
1/06/2018,Bonus Interest Credit,Interest
1/06/2018,Interest Credit,Interest
1/06/2018,International Transaction Fee Rebate,International Fee
1/06/2018,International Transaction Fee,International Fee
1/06/2018,LA PLACE AIRSIDE,Food
1/06/2018,International Transaction Fee Rebate,International Fee
1/06/2018,International Transaction Fee,International Fee
1/06/2018,ATMAN NOURISH KAFE HO,Food
1/06/2018,CROWN CABS 0393105422,Taxi
1/06/2018,International ATM Fee Rebate,International Fee
1/06/2018,International ATM Withdrawal Fee,International Fee
1/06/2018,COCO MART   ARMODPS,Food
1/06/2018,Powershop - Direct Debit,Bills
1/06/2018,International Transaction Fee Rebate,International Fee
1/06/2018,International Transaction Fee,International Fee
1/06/2018,COCO SUPERMARKET UBUD,Food
1/06/2018,International Transaction Fee Rebate,International Fee
1/06/2018,International Transaction Fee,International Fee
1/06/2018,ATMAN NOURISH KAFE HO,Food
1/06/2018,International Transaction Fee Rebate,International Fee
1/06/2018,International Transaction Fee,International Fee
1/06/2018,"GIORDANO,UBUD",Food
1/06/2018,International Transaction Fee Rebate,International Fee
1/06/2018,International Transaction Fee,International Fee
1/06/2018,KILA SENGGIGI BEACH LOMBO,Food
1/06/2018,International Transaction Fee Rebate,International Fee
1/06/2018,International Transaction Fee,International Fee
1/06/2018,MAHA RESTAURANT & BAR,Food
1/06/2018,International ATM Fee Rebate,International Fee
1/06/2018,International ATM Withdrawal Fee,International Fee
1/06/2018,KILA SENGGIGI BEACH,Food
1/06/2018,International Transaction Fee Rebate,International Fee
1/06/2018,International Transaction Fee,International Fee
1/06/2018,International Transaction Fee Rebate,International Fee
1/06/2018,International Transaction Fee,International Fee
1/06/2018,COCO MART SENGGIGI,Food
1/06/2018,International Transaction Fee Rebate,International Fee
1/06/2018,International Transaction Fee,International Fee
1/06/2018,THE GARDEN CAF,Food
1/06/2018,International Transaction Fee Rebate,International Fee
1/06/2018,International Transaction Fee,International Fee
1/06/2018,ANA WARUNG & BUNGALOW,Food
1/06/2018,Internal Transfer - Internal Transfer,Internal transfer
1/06/2018,International Transaction Fee Rebate,International Fee
1/06/2018,International Transaction Fee,International Fee
1/06/2018,LOMBOK AMAZING PANORAMA T,Food
1/06/2018,Internal Transfer - Internal Transfer,Internal transfer
1/06/2018,Internal Transfer,Internal transfer
1/06/2018,Internal Transfer,Internal transfer
1/06/2018,International Transaction Fee Rebate,International Fee
1/06/2018,International Transaction Fee,International Fee
1/06/2018,BALI JUICE PARK HO,Food
1/06/2018,International Transaction Fee Rebate,International Fee
1/06/2018,International Transaction Fee,International Fee
1/06/2018,KILA SENGGIGI BEACH LOMBO,Food
1/06/2018,PEXA             MNTH RWAR01,Income
1/06/2018,Powershop - Direct Debit,Bills
1/06/2018,WHSMITH MEL T2,Food
1/06/2018,myki-tnfr18JUN18 - Direct Debit,Myki
1/06/2018,PROPERTY EXCHANG T5639468002 ,Income
1/06/2018,COFFEE 7,Food
1/06/2018,PAYPAL *UBER AU,Taxi
1/06/2018,TAHINI COLLIN SQUARE,Food
1/06/2018,Indonesia - Internal Transfer,Internal transfer
1/06/2018,Indonesia - Internal Transfer,Internal transfer
1/06/2018,OFFICEWORKS 0311,Food
1/06/2018,spare money for Indonesia - Internal Transfer,Internal transfer
1/06/2018,Indonesia,Internal transfer
1/06/2018,Indonesia,Internal transfer
1/06/2018,spare money for Indonesia,Internal transfer
1/06/2018,myki-tnfr14JUN18 - Direct Debit,Myki
1/06/2018,origin - Internal Transfer,Internal transfer
1/06/2018,ORIGIN GAS - Direct Debit,Bills
1/06/2018,DEEP SPACE AUSTRALIA,Food
1/06/2018,KUAYBOY PTY LTD,Food
1/06/2018,origin,Food
1/06/2018,legal clothes for admission - Internal Transfer,Internal transfer
1/06/2018,MOLLY DENE,Food
1/06/2018,legal clothes for admission,Food
1/06/2018,MMA - Internal Transfer,Internal transfer
1/06/2018,WOOLWORTHS 3161,Supermarket
1/06/2018,MMA,Food
1/06/2018,PAYPAL *UBER AU,Taxi
1/06/2018,groceries - Internal Transfer,Internal transfer
1/06/2018,groceries - Internal Transfer,Internal transfer
1/06/2018,SUSHI&NORI MELBOURNE,Food
1/06/2018,myki-tnfr07JUN18 - Direct Debit,Myki
1/06/2018,MOLLY DENE,Food
1/06/2018,MOLLY DENE,Food
1/06/2018,WOOLWORTHS 3161,Supermarket
1/06/2018,THE BOATBUILDERS YAR,Food
1/06/2018,Da Massimo,Food
1/06/2018,legal admission fees - Internal Transfer,Internal transfer
1/06/2018,acorns - Internal Transfer,Internal transfer
1/06/2018,legal admission fees,Food
1/06/2018,acorns,Internal transfer
1/06/2018,myki-tnfr01JUN18 - Direct Debit,Myki
1/05/2018,MR RYAN WILLIAM  Acorns ,Internal transfer
1/05/2018,gas - Internal Transfer,Internal transfer
1/05/2018,PRINCE MANHAS PTY LTD,Food
1/05/2018,Bonus Interest Credit,Interest
1/05/2018,Interest Credit,Interest
1/05/2018,gas,Internal transfer
1/05/2018,myki - Internal Transfer,Internal transfer
1/05/2018,myki-tnfr30MAY18 - Direct Debit,Myki
1/05/2018,International Transaction Fee Rebate,International Fee
1/05/2018,International Transaction Fee,International Fee
1/05/2018,PAYPAL *SPOTIFY,Spotify
1/05/2018,MOLLY DENE,Food
1/05/2018,myki,Internal transfer
1/05/2018,Powershop - Direct Debit,Bills
1/05/2018,WOOLWORTHS 3161,Supermarket
1/05/2018,WOOFINGTONS EIGH,Bills
1/05/2018,HAROLD HOLT AQUATIC CN,Swimming
1/05/2018,Water Bill - BPAY Bill Payment,Bills
1/05/2018,extra to cover with water - Internal Transfer,Internal transfer
1/05/2018,Internal Transfer - Internal Transfer,Internal transfer
1/05/2018,Jane Doe chronic - Transfer to 923100 0062592471,Entertainment
1/05/2018,Internal Transfer - Internal Transfer,Internal transfer
1/05/2018,THE BIG MEXICO PTY LTD,Food
1/05/2018,extra to cover with water,Food
1/05/2018,PAYPAL *UBER AU,Taxi
1/05/2018,myki-tnfr25MAY18 - Direct Debit,Myki
1/05/2018,International Transaction Fee Rebate,International Fee
1/05/2018,International Transaction Fee,International Fee
1/05/2018,Jane Doe mirror - Osko Payment to 013220 479808887,Food
1/05/2018,Powershop - Direct Debit,Bills
1/05/2018,MOLLY DENE,Food
1/05/2018,COLES 0595,Supermarket
1/05/2018,for reg expenses - Internal Transfer,Internal transfer
1/05/2018,AUTOPLUS               BR IGHTON EAST - EFTPOS Purchase,Car
1/05/2018,Internal Transfer - Internal Transfer,Internal transfer
1/05/2018,unused - Internal Transfer,Internal transfer
1/05/2018,Jane Doe immunoglobulins - Transfer to 923100 0062592471,Food
1/05/2018,VILLAGE SOUTHLAND,Entertainment
1/05/2018,BP BAYSIDE 4216,Petrol
1/05/2018,HAROLD HOLT AQUATIC CN,Swimming
1/05/2018,Internal Transfer - Internal Transfer,Internal transfer
1/05/2018,car - Internal Transfer,Internal transfer
1/05/2018,for reg expenses,Internal transfer
1/05/2018,unused,Internal transfer
1/05/2018,Internal Transfer,Internal transfer
1/05/2018,car,Internal transfer
1/05/2018,Internal Transfer,Internal transfer
1/05/2018,MR Jane Doeigotbillsigottapay ,Bills
1/05/2018,Jane Doe settling up - Transfer to 923100 0062592471,Food
1/05/2018,Powershop - Direct Debit,Bills
1/05/2018,Powershop - Direct Debit,Bills
1/05/2018,Good Times Milk Bar,Food
1/05/2018,COLES 0595,Supermarket
1/05/2018,myki-tnfr18MAY18 - Direct Debit,Myki
1/05/2018,CREATIVE SHED PTY LT,Food
1/05/2018,PEXA             MNTH RWAR01,Income
1/05/2018,MR RYAN WILLIAM ,Food
1/05/2018,PRINCE MANHAS PTY LTD,Food
1/05/2018,SUSHI & NORI MELBOUR,Food
1/05/2018,Sydney flight - Transfer to Jane Doe,Bills
1/05/2018,PROPERTY EXCHANG T5639317254 ,Income
1/05/2018,myki-tnfr16MAY18 - Direct Debit,Myki
1/05/2018,MOLLY DENE,Food
1/05/2018,WOOLWORTHS 3110,Supermarket
1/05/2018,INDII OF BRIGHTON,Food
1/05/2018,Powershop - Direct Debit,Bills
1/05/2018,MS Jane Doe lombok flights - Deposit,Bills
1/05/2018,STA TRAVEL PTY LTD,Bills
1/05/2018,619 PTY LTD,Food
1/05/2018,Internal Transfer - Internal Transfer,Internal transfer
1/05/2018,laptop - Internal Transfer,Internal transfer
1/05/2018,Internal Transfer - Internal Transfer,Internal transfer
1/05/2018,flights - Internal Transfer,Internal transfer
1/05/2018,WOOLWORTHS 3762,Supermarket
1/05/2018,flights,Internal transfer
1/05/2018,laptop,Internal transfer
1/05/2018,Cheque,Income
1/05/2018,CREATIVE SHED PTY LT,Food
1/05/2018,WOOLWORTHS 3110,Supermarket
1/05/2018,MOLLY DENE,Food
1/05/2018,GRILLD PTY LTD,Food
1/05/2018,WOOLWORTHS 3762,Supermarket
1/05/2018,Internal Transfer - Internal Transfer,Internal transfer
1/05/2018,for reg expenses - Internal Transfer,Internal transfer
1/05/2018,for reg expenses - Internal Transfer,Internal transfer
1/05/2018,DIABO PTY LTD,Food
1/05/2018,Internal Transfer,Internal transfer
1/05/2018,PAPADAM DOCKLANDS,Food
1/05/2018,PAYPAL *UBER AU,Taxi
1/05/2018,L H K VENTURES PL,Food
1/05/2018,TAXI EPAY AUSTRALIA,Taxi
1/05/2018,Jane Doe movie - Osko Payment to 013220 370159772,Entertainment
1/05/2018,Powershop - Direct Debit,Bills
1/05/2018,MOLLY DENE,Food
1/05/2018,MS Jane Doe Bali flights - Deposit,Bills
1/05/2018,STA TRAVEL PTY LTD,Bills
1/05/2018,AAA CORP PTY LTD,Food
1/05/2018,BOOST JUICE (SOUTHLA,Food
1/04/2018,Powershop - Direct Debit,Bills
1/04/2018,International Transaction Fee Rebate,International Fee
1/04/2018,International Transaction Fee,International Fee
1/04/2018,PAYPAL *SPOTIFY,Spotify
1/04/2018,GRILLD PTY LTD - SOU,Food
1/04/2018,HAROLD HOLT AQUATIC CN,Swimming
1/04/2018,Bonus Interest Credit,Interest
1/04/2018,Interest Credit,Interest
1/04/2018,Internal Transfer - Internal Transfer,Internal transfer
1/04/2018,International Transaction Fee Rebate,International Fee
1/04/2018,International Transaction Fee,International Fee
1/04/2018,PAYPAL *BOOKDEPOSIT,Entertainment
1/04/2018,VIC ROADS PAYT PROCES,Food
1/04/2018,VJJ VENTURE PTY LTD,Food
1/04/2018,Internal Transfer,Internal transfer
1/04/2018,PAYPAL *UBER AU,Taxi
1/04/2018,MS Jane Doe uber eats - Deposit,Bills
1/04/2018,International Transaction Fee Rebate,International Fee
1/04/2018,International Transaction Fee,International Fee
1/04/2018,619 PTY LTD,Food
1/04/2018,WOOLWORTHS 3110,Supermarket
1/04/2018,MS Jane Doe Groceries - Deposit,Bills
1/04/2018,Internal Transfer - Internal Transfer,Internal transfer
1/04/2018,International Transaction Fee Rebate,International Fee
1/04/2018,International Transaction Fee,International Fee
1/04/2018,PAYPAL *LONDONTRUST,Entertainment
1/04/2018,Internal Transfer,Internal transfer
1/04/2018,Internal Transfer - Internal Transfer,Internal transfer
1/04/2018,WOOLWORTHS 3110,Supermarket
1/04/2018,WOOLWORTHS 3110,Supermarket
1/04/2018,Internal Transfer - Internal Transfer,Internal transfer
1/04/2018,Internal Transfer,Internal transfer
1/04/2018,Internal Transfer,Internal transfer
1/04/2018,Internal Transfer - Internal Transfer,Internal transfer
1/04/2018,BON BON BOY COLL SQ,Food
1/04/2018,PEXA             MNTH RWAR01,Income
1/04/2018,Internal Transfer,Internal transfer
1/04/2018,MR Jane DoeElectricity bill ,Bills
1/04/2018,Powershop - Direct Debit,Bills
1/04/2018,WOOLWORTHS 3762,Supermarket
1/04/2018,MS Jane Doe Groceries - Deposit,Bills
1/04/2018,Jane Doe kllo - Transfer to 923100 0062592471,Food
1/04/2018,Internal Transfer,Internal transfer
1/04/2018,Internal Transfer,Internal transfer
1/04/2018,ORIGIN GAS - Direct Debit,Bills
1/04/2018,HAROLD HOLT AQUATIC CN,Swimming
1/04/2018,PAPADAM DOCKLANDS,Food
1/04/2018,Jane Doe Dinner w boiz - Osko Payment to 013220 370159772,Food
1/04/2018,WOOLWORTHS 3762,Supermarket
1/04/2018,VJJ VENTURE PTY LTD,Food
1/04/2018,Powershop - Direct Debit,Bills
1/04/2018,WW PETROL 3539,Food
1/04/2018,Captains of Industry,Food
1/04/2018,MOLLY DENE,Food
1/04/2018,MOLLY DENE,Food
1/04/2018,WOOLWORTHS 3110,Supermarket
1/04/2018,MR RYAN WILLIAM ,Food
1/04/2018,MR Jane DoeLove yaaa ,Bills
1/04/2018,PAYPAL *UBER AU,Taxi
1/04/2018,HAROLD HOLT AQUATIC CN,Swimming
1/04/2018,PAYPAL *GOOGLE,Entertainment
1/04/2018,1806,Food
1/04/2018,WOOLWORTHS 3762,Supermarket
1/04/2018,drinks - Internal Transfer,Internal transfer
1/04/2018,drinks - Internal Transfer,Internal transfer
1/04/2018,Jane Doe setting up and food - Transfer to 923100 0062592471,Food
1/04/2018,PAYPAL *UBER AU,Taxi
1/03/2018,Bonus Interest Credit,Interest
1/03/2018,Interest Credit,Interest
1/03/2018,Interest Credit,Interest
1/03/2018,International Transaction Fee Rebate,International Fee
1/03/2018,International Transaction Fee,International Fee
1/03/2018,PAYPAL *SPOTIFY,Spotify
1/03/2018,PAYPAL *KOGAN,Bills
1/03/2018,Jane Doe comedy - Transfer to 923100 0062592471,Food
1/03/2018,Powershop - Direct Debit,Bills
1/03/2018,12month phone bill - Internal Transfer,Internal transfer
1/03/2018,619 PTY LTD,Food
1/03/2018,12month phone bill,Internal transfer
1/03/2018,MS Jane Doe Ikea - Deposit,Bills
1/03/2018,CHAPEL OFF CHAPEL,Entertainment
1/03/2018,COLES 0595,Supermarket
1/03/2018,Hawker Hall,Food
1/03/2018,619 PTY LTD,Food
1/03/2018,MISS Jane Doe tfer,Bills
1/03/2018,unused expenses - Internal Transfer,Internal transfer
1/03/2018,GRILLD PTY LTD - SOU,Food
1/03/2018,unused expenses,Food
1/03/2018,Internal Transfer - Internal Transfer,Internal transfer
1/03/2018,MOLLY DENE,Food
1/03/2018,Internal Transfer - Internal Transfer,Internal transfer
1/03/2018,Internal Transfer,Internal transfer
1/03/2018,Internal Transfer,Internal transfer
1/03/2018,Powershop - Direct Debit,Bills
1/03/2018,International Transaction Fee Rebate,International Fee
1/03/2018,International Transaction Fee,International Fee
1/03/2018,from anz acc - Internal Transfer,Internal transfer
1/03/2018,WESTFIELD SOUTHLAND,Car
1/03/2018,VILLAGE SOUTHLAND,Entertainment
1/03/2018,AAA CORP PTY LTD,Food
1/03/2018,PEXA             MNTH RWAR01,Income
1/03/2018,cant get bonus,Internal transfer
1/03/2018,from anz acc,Internal transfer
1/03/2018,cant get bonus,Internal transfer
1/03/2018,MR RYAN WILLIAM ,Internal transfer
1/03/2018,MR RYAN WILLIAM  Tfer ,Internal transfer
1/03/2018,alistair gift - Internal Transfer,Internal transfer
1/03/2018,Powershop - Direct Debit,Bills
1/03/2018,HAROLD HOLT AQUATIC CN,Swimming
1/03/2018,alistair gift,Food
1/03/2018,MOLLY DENE,Food
1/03/2018,MOLLY DENE,Food
1/03/2018,International Transaction Fee Rebate,International Fee
1/03/2018,International Transaction Fee,International Fee
1/03/2018,PAYPAL *BOOKDEPOSIT,Entertainment
1/03/2018,BP BAYSIDE 4216,Food
1/03/2018,petrol - Internal Transfer,Internal transfer
1/03/2018,petrol - Internal Transfer,Internal transfer
1/03/2018,HAROLD HOLT AQUATIC CN,Swimming
1/03/2018,SUSHI & NORI MELBOUR,Food
1/03/2018,619 PTY LTD,Food
1/03/2018,Jane Doe everything - Transfer to 923100 0062592471,Food
1/03/2018,leftover - Internal Transfer,Internal transfer
1/03/2018,shopping - Transfer to Jane Doe,Internal transfer
1/03/2018,Tan Le  - Osko Payment to 083832 821970186,Food
1/03/2018,PRINCE MANHAS PTY LTD,Food
1/03/2018,PAPADAM DOCKLANDS,Food
1/03/2018,leftover,Internal transfer
1/03/2018,Powershop - Direct Debit,Bills
1/03/2018,Jane Doe stuff - Transfer to 923100 0062592471,Food
1/03/2018,WOOLWORTHS 3136,Supermarket
1/03/2018,PAYPAL *UBER AU,Taxi
1/03/2018,BON BON BOY COLL SQ,Food
1/03/2018,PAPADAM DOCKLANDS,Food
1/03/2018,PAYPAL *SPOTIFY,Spotify
1/03/2018,PAYPAL *UBER AU,Taxi
1/03/2018,ARBORY BAR AND EATER,Food
1/03/2018,JOANNA ROVAS PTY LTD,Food
1/03/2018,619 PTY LTD,Food
1/03/2018,RICHY & E INVESTMENT,Food
1/02/2018,619 PTY LTD,Food
1/02/2018,GRILLD PTY LTD,Food
1/02/2018,MOLLY DENE,Food
1/02/2018,Bonus Interest Credit,Interest
1/02/2018,Interest Credit,Interest
1/02/2018,Interest Credit,Interest
1/02/2018,Powershop - Direct Debit,Bills
1/02/2018,Powershop - Direct Debit,Bills
1/02/2018,VJJ VENTURE PTY LTD,Food
1/02/2018,JG RICHMOND PTY LTD,Food
1/02/2018,HAROLD HOLT AQUATIC CN,Swimming
1/02/2018,R W WARD         Tfer,Internal transfer
1/02/2018,Internal Transfer - Internal Transfer,Internal transfer
1/02/2018,Internal Transfer - Internal Transfer,Internal transfer
1/02/2018,Internal Transfer,Internal transfer
1/02/2018,Internal Transfer,Internal transfer
1/02/2018,Internal Transfer,Internal transfer
1/02/2018,Internal Transfer,Internal transfer
1/02/2018,Powershop - Direct Debit,Bills
1/02/2018,MOLLY DENE,Food
1/02/2018,SUSHI & NORI MELBOUR,Food
1/02/2018,PEXA             MNTH RWAR01,Income
1/02/2018,PAPADAM DOCKLANDS,Food
1/02/2018,619 PTY LTD,Food
1/02/2018,costco - Transfer to Jane Doe,Supermarket
1/02/2018,619 PTY LTD,Food
1/02/2018,ORIGIN GAS - Direct Debit,Bills
1/02/2018,MOLLY DENE,Food
1/02/2018,COLES 0595,Supermarket
1/02/2018,BP BAYSIDE 4216,Petrol
1/02/2018,BEACON LIGHTING 12,Food
1/02/2018,HAROLD HOLT AQUATIC CN,Swimming
1/02/2018,dog food - Transfer to Jane Doe,Bills
1/02/2018,NZ owing Josh - Transfer to Josh Mason,Food
1/02/2018,NZ - Internal Transfer,Internal transfer
1/02/2018,Clip and Climb - Transfer to Jane Doe,Entertainment
1/02/2018,NZ,Food
1/02/2018,WOOLWORTHS 3136,Supermarket
1/02/2018,IN A RUSH FED SQUARE,Food
1/02/2018,WOOLWORTHS 3906,Supermarket
1/02/2018,Mr Burger,Food
1/02/2018,Hightail,Food
1/02/2018,WOOLWORTHS 3136,Supermarket
1/02/2018,Powershop - Direct Debit,Bills
1/02/2018,619 PTY LTD,Food
1/02/2018,MOLLY DENE,Food
1/02/2018,MOLLY DENE,Food
1/02/2018,PUBLIC TRANSPORT VICT,Myki
1/02/2018,WOOLWORTHS 3110,Supermarket
1/02/2018,WOOLWORTHS 3110,Supermarket
1/02/2018,Internal Transfer - Internal Transfer,Internal transfer
1/02/2018,Internal Transfer - Internal Transfer,Internal transfer
1/02/2018,Internal Transfer - Internal Transfer,Internal transfer
1/02/2018,Ryan ANZ         Ryan ANZ ,Food
1/02/2018,myki-tnfr05FEB18 - Direct Debit,Myki
1/02/2018,Transfer to R and L Joint Acc,Food
1/02/2018,HAROLD HOLT AQUATIC CN,Swimming
1/02/2018,Internal Transfer,Internal transfer
1/02/2018,Internal Transfer,Internal transfer
1/02/2018,Internal Transfer,Internal transfer
1/02/2018,Internal Transfer,Internal transfer
1/02/2018,Internal Transfer - Internal Transfer,Internal transfer
1/02/2018,Internal Transfer - Internal Transfer,Internal transfer
1/02/2018,Internal Transfer,Internal transfer
1/02/2018,Internal Transfer,Internal transfer
1/02/2018,Internal Transfer - Internal Transfer,Internal transfer
1/02/2018,Internal Transfer - Internal Transfer,Internal transfer
1/02/2018,Internal Transfer - Internal Transfer,Internal transfer
1/02/2018,PAYPAL *SWAADMEL,Entertainment
1/02/2018,619 PTY LTD,Food
1/02/2018,Internal Transfer,Internal transfer
1/02/2018,Internal Transfer,Internal transfer
1/02/2018,WOOLWORTHS 3762,Supermarket
1/02/2018,PAPADAM DOCKLANDS,Food
1/01/2018,MELBOURNE AIRPORT,Food
1/01/2018,Bonus Interest Credit,Interest
1/01/2018,Interest Credit,Interest
1/01/2018,HORACE STREET,Food
1/01/2018,WOOLWORTHS 3136,Supermarket
1/01/2018,HAROLD HOLT AQUATIC CN,Swimming
1/01/2018,R W WARD         Transfer,Internal transfer
1/01/2018,619 PTY LTD,Food
1/01/2018,619 PTY LTD,Food
1/01/2018,R W WARD         transfer,Internal transfer
1/01/2018,SUBWAY 12TH AVE,Food
1/01/2018,FLINDER STREET STATI,Food
1/01/2018,R W WARD         Transfer,Internal transfer
1/01/2018,PAETIKI SUPER VALUE,Food
1/01/2018,RELAY,Food
1/01/2018,HMSHOST NZ LIMITED,Food
1/01/2018,SILVERTOP VIC 13100 MELBOURNE V - EFTPOS Purchase,Taxi
1/01/2018,R W WARD         Transfer,Food
1/01/2018,THE BLIND FINCH,Food
1/01/2018,KOI RAMEN,Food
1/01/2018,WOOLWORTHS 3110,Supermarket
1/01/2018,THE BLIND FINCH,Food
1/01/2018,ROSIE,Food
1/01/2018,WANGANUI RIVER CANOE,Entertainment
1/01/2018,SUBWAY HUNTLY,Food
1/01/2018,WOOFINGTONS EIGH,Bills
1/01/2018,R W WARD         Transfer,Internal transfer
1/01/2018,GRILLD PTY LTD - SOU,Food
1/01/2018,tfer - Internal Transfer,Internal transfer
1/01/2018,Internal Transfer - Internal Transfer,Internal transfer
1/01/2018,WOOLWORTHS 3136,Supermarket
1/01/2018,tfer,Food
1/01/2018,Internal Transfer,Internal transfer
1/01/2018,WOOLWORTHS 3762,Supermarket
1/01/2018,WOOLWORTHS 3089,Supermarket
